Burnley.csv 	 Player 	 2530 	 0.0
Burnley.csv 	 Player 	 2833 	 0.0
Burnley.csv 	 Player 	 3784 	 0.0
Burnley.csv 	 Player 	 463 	 1.0
Burnley.csv 	 Player 	 468 	 1.0
Burnley.csv 	 Player 	 531 	 1.0
Burnley.csv 	 Player 	 664 	 1.0
Burnley.csv 	 Player 	 668 	 1.0
Burnley.csv 	 Player 	 710 	 0.0
Burnley.csv 	 Player 	 7145 	 0.0
Burnley.csv 	 Player 	 718 	 0.0
Burnley.csv 	 Player 	 880 	 1.0
CardiffC.csv 	 Player 	 10140 	 0.0
CardiffC.csv 	 Player 	 11532 	 0.0
CardiffC.csv 	 Player 	 1467 	 1.0
CardiffC.csv 	 Player 	 15848 	 0.0
CardiffC.csv 	 Player 	 16357 	 0.0
CardiffC.csv 	 Player 	 17456 	 0.0
CardiffC.csv 	 Player 	 17544 	 0.0
CardiffC.csv 	 Player 	 17546 	 0.0
CardiffC.csv 	 Player 	 17796 	 0.0
CardiffC.csv 	 Player 	 1849 	 1.0
CardiffC.csv 	 Player 	 1876 	 1.0
CardiffC.csv 	 Player 	 2107 	 1.0
CardiffC.csv 	 Player 	 2159 	 1.0
CardiffC.csv 	 Player 	 2293 	 1.0
CardiffC.csv 	 Player 	 2388 	 1.0
CardiffC.csv 	 Player 	 2451 	 1.0
CardiffC.csv 	 Player 	 2876 	 0.0
CardiffC.csv 	 Player 	 3000 	 1.0
CardiffC.csv 	 Player 	 3167 	 1.0
CardiffC.csv 	 Player 	 3175 	 0.0
CardiffC.csv 	 Player 	 3871 	 0.0
CardiffC.csv 	 Player 	 3912 	 1.0
CardiffC.csv 	 Player 	 4080 	 0.0
CardiffC.csv 	 Player 	 4426 	 0.0
CardiffC.csv 	 Player 	 4761 	 0.0
CardiffC.csv 	 Player 	 5136 	 0.0
CardiffC.csv 	 Player 	 5698 	 0.0
CardiffC.csv 	 Player 	 5730 	 0.0
CardiffC.csv 	 Player 	 6009 	 0.0
CardiffC.csv 	 Player 	 6116 	 0.0
CardiffC.csv 	 Player 	 6498 	 0.0
CardiffC.csv 	 Player 	 7450 	 0.0
CardiffC.csv 	 Player 	 7704 	 0.0
Chelsea.csv 	 Player 	 10801 	 0.0
Chelsea.csv 	 Player 	 1085 	 0.0
Chelsea.csv 	 Player 	 121 	 1.0
Chelsea.csv 	 Player 	 1287 	 0.0
Chelsea.csv 	 Player 	 14 	 1.0
Chelsea.csv 	 Player 	 140 	 1.0
Chelsea.csv 	 Player 	 14603 	 0.0
Chelsea.csv 	 Player 	 14646 	 0.0
Chelsea.csv 	 Player 	 15322 	 0.0
Chelsea.csv 	 Player 	 15846 	 0.0
Chelsea.csv 	 Player 	 1664 	 0.0
Chelsea.csv 	 Player 	 16806 	 0.0
Chelsea.csv 	 Player 	 176 	 1.0
Chelsea.csv 	 Player 	 177 	 1.0
Chelsea.csv 	 Player 	 200 	 1.0
Chelsea.csv 	 Player 	 209 	 1.0
Chelsea.csv 	 Player 	 219 	 1.0
Chelsea.csv 	 Player 	 257 	 1.0
Chelsea.csv 	 Player 	 265 	 0.0
Chelsea.csv 	 Player 	 283 	 0.0
Chelsea.csv 	 Player 	 304 	 0.0
Chelsea.csv 	 Player 	 3311 	 0.0
Chelsea.csv 	 Player 	 336 	 0.0
Chelsea.csv 	 Player 	 3937 	 0.0
Chelsea.csv 	 Player 	 5 	 1.0
Chelsea.csv 	 Player 	 5121 	 0.0
Chelsea.csv 	 Player 	 534 	 0.0
Chelsea.csv 	 Player 	 590 	 0.0
Chelsea.csv 	 Player 	 641 	 0.0
Chelsea.csv 	 Player 	 646 	 0.0
Chelsea.csv 	 Player 	 681 	 0.0
Chelsea.csv 	 Player 	 69 	 1.0
Chelsea.csv 	 Player 	 858 	 0.0
CrystalP.csv 	 Player 	 1276 	 0.0
CrystalP.csv 	 Player 	 1325 	 1.0
CrystalP.csv 	 Player 	 1393 	 1.0
CrystalP.csv 	 Player 	 1465 	 1.0
CrystalP.csv 	 Player 	 1492 	 1.0
CrystalP.csv 	 Player 	 15305 	 0.0
CrystalP.csv 	 Player 	 15910 	 0.0
CrystalP.csv 	 Player 	 16316 	 0.0
CrystalP.csv 	 Player 	 16369 	 0.0
CrystalP.csv 	 Player 	 16694 	 0.0
CrystalP.csv 	 Player 	 16741 	 0.0
CrystalP.csv 	 Player 	 17073 	 0.0
CrystalP.csv 	 Player 	 1780 	 0.0
CrystalP.csv 	 Player 	 2011 	 0.0
CrystalP.csv 	 Player 	 2016 	 1.0
CrystalP.csv 	 Player 	 2586 	 0.0
CrystalP.csv 	 Player 	 2660 	 0.0
CrystalP.csv 	 Player 	 270 	 1.0
CrystalP.csv 	 Player 	 2730 	 0.0
CrystalP.csv 	 Player 	 2799 	 0.0
CrystalP.csv 	 Player 	 3797 	 0.0
CrystalP.csv 	 Player 	 4313 	 0.0
CrystalP.csv 	 Player 	 500 	 1.0
CrystalP.csv 	 Player 	 5182 	 0.0
CrystalP.csv 	 Player 	 5437 	 0.0
CrystalP.csv 	 Player 	 5557 	 0.0
CrystalP.csv 	 Player 	 598 	 1.0
CrystalP.csv 	 Player 	 610 	 1.0
CrystalP.csv 	 Player 	 6861 	 0.0
CrystalP.csv 	 Player 	 691 	 1.0
CrystalP.csv 	 Player 	 7698 	 0.0
CrystalP.csv 	 Player 	 881 	 1.0
Everton.csv 	 Player 	 1009 	 0.0
Everton.csv 	 Player 	 1078 	 0.0
Everton.csv 	 Player 	 1198 	 0.0
Everton.csv 	 Player 	 13134 	 0.0
Everton.csv 	 Player 	 14225 	 0.0
Everton.csv 	 Player 	 15007 	 0.0
Everton.csv 	 Player 	 15577 	 0.0
Everton.csv 	 Player 	 180 	 1.0
Everton.csv 	 Player 	 1814 	 0.0
Everton.csv 	 Player 	 198 	 1.0
Everton.csv 	 Player 	 1993 	 0.0
Everton.csv 	 Player 	 2148 	 0.0
Everton.csv 	 Player 	 2834 	 0.0
Everton.csv 	 Player 	 292 	 1.0
Everton.csv 	 Player 	 3183 	 0.0
Everton.csv 	 Player 	 3235 	 0.0
Everton.csv 	 Player 	 444 	 1.0
Everton.csv 	 Player 	 451 	 1.0
Everton.csv 	 Player 	 457 	 1.0
Everton.csv 	 Player 	 475 	 1.0
Everton.csv 	 Player 	 5114 	 0.0
Everton.csv 	 Player 	 517 	 1.0
Everton.csv 	 Player 	 560 	 1.0
Everton.csv 	 Player 	 617 	 1.0
Everton.csv 	 Player 	 659 	 1.0
Everton.csv 	 Player 	 6750 	 0.0
Everton.csv 	 Player 	 699 	 0.0
Everton.csv 	 Player 	 708 	 0.0
Everton.csv 	 Player 	 767 	 0.0
Everton.csv 	 Player 	 8463 	 0.0
Everton.csv 	 Player 	 8694 	 0.0
Everton.csv 	 Player 	 945 	 0.0
Fulham.csv 	 Player 	 1021 	 1.0
Fulham.csv 	 Player 	 1088 	 1.0
Fulham.csv 	 Player 	 10989 	 0.0
Fulham.csv 	 Player 	 1329 	 1.0
Fulham.csv 	 Player 	 15295 	 0.0
Fulham.csv 	 Player 	 16000 	 0.0
Fulham.csv 	 Player 	 16155 	 0.0
Fulham.csv 	 Player 	 16190 	 0.0
Fulham.csv 	 Player 	 16603 	 0.0
Fulham.csv 	 Player 	 16877 	 0.0
Fulham.csv 	 Player 	 16944 	 0.0
Fulham.csv 	 Player 	 17369 	 0.0
Fulham.csv 	 Player 	 1800 	 1.0
Fulham.csv 	 Player 	 1877 	 1.0
Fulham.csv 	 Player 	 1992 	 1.0
Fulham.csv 	 Player 	 2230 	 0.0
Fulham.csv 	 Player 	 2421 	 0.0
Fulham.csv 	 Player 	 2423 	 0.0
Fulham.csv 	 Player 	 2425 	 1.0
Fulham.csv 	 Player 	 2526 	 1.0
Fulham.csv 	 Player 	 2573 	 1.0
Fulham.csv 	 Player 	 2877 	 0.0
Fulham.csv 	 Player 	 3115 	 0.0
Fulham.csv 	 Player 	 331 	 1.0
Fulham.csv 	 Player 	 3438 	 0.0
Fulham.csv 	 Player 	 3982 	 0.0
Fulham.csv 	 Player 	 4528 	 0.0
Fulham.csv 	 Player 	 5155 	 0.0
Fulham.csv 	 Player 	 5664 	 0.0
Fulham.csv 	 Player 	 609 	 1.0
Fulham.csv 	 Player 	 696 	 0.0
Fulham.csv 	 Player 	 7342 	 0.0
HuddersfieldTown.csv 	 Player 	 10680 	 0.0
HuddersfieldTown.csv 	 Player 	 1134 	 1.0
